5350520.10 (Census tract) GNR=25.7,,,,,,,,,,
Topic,,Characteristics,,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
Citizenship,CITIZEN,Total population in private households by citizenship,TPOPPHC,1,9200,,4635,,4570,
Citizenship,,  Canadian citizens,CC,,6335,,3105,,3225,
Citizenship,,    Canadian citizens aged under 18,CCU18,,945,,490,,460,
Citizenship,,    Canadian citizens aged 18 and over,CC18NOVR,,5385,,2620,,2770,
Citizenship,,  Not Canadian citizens,NCC,2,2870,,1530,,1340,
Immigrant status and period of immigration,ISPERIOD,Total population in private households by immigrant status and period of immigration,TPOPPHISPS,3,9200,,4635,,4570,
Immigrant status and period of immigration,,  Non-immigrants,NONIMMI,4,2725,,1410,,1310,
Immigrant status and period of immigration,,  Immigrants,IMMI,5,6040,,2960,,3080,
Immigrant status and period of immigration,,    Before 1971,B41971,,350,,120,,235,
Immigrant status and period of immigration,,    1971 to 1980,1971to1980,,430,,195,,235,
Immigrant status and period of immigration,,    1981 to 1990,1981to1990,,520,,250,,275,
Immigrant status and period of immigration,,    1991 to 2000,1991to2000,,1365,,635,,730,
Immigrant status and period of immigration,,    2001 to 2011,2001to2011,6,3370,,1760,,1605,
Immigrant status and period of immigration,,      2001 to 2005,2001to2005,,1380,,700,,675,
Immigrant status and period of immigration,,      2006 to 2011,2006to2011,6,1990,,1065,,930,
Immigrant status and period of immigration,,  Non-permanent residents,NPR,7,440,,260,,175,
Age at immigration,AAI,Total immigrant population in private households by age at immigration,TPOPPHAAI,8,6035,,2955,,3080,
Age at immigration,,  Under 5 years,U5Y,,585,,295,,290,
Age at immigration,,  5 to 14 years,5to14,,1295,,625,,675,
Age at immigration,,  15 to 24 years,15to24,,1080,,525,,560,
Age at immigration,,  25 to 44 years,25to44,,2460,,1170,,1295,
Age at immigration,,  45 years and over,45NOVR,,610,,340,,270,
Immigrant status and selected places of birth,ISBIRTH,Total population in private households by immigrant status and selected places of birth,TPPHISSPB,9,9200,,4630,,4565,
Immigrant status and selected places of birth,,  Non-immigrants,NONIMMI,10,2725,,1415,,1310,
Immigrant status and selected places of birth,,    Born in province of residence,BRPROVRES,,2310,,1230,,1085,
Immigrant status and selected places of birth,,    Born outside province of residence,BROPROVRES,,410,,185,,230,
Immigrant status and selected places of birth,,  Immigrants,IMMI,11,6040,,2955,,3080,
Immigrant status and selected places of birth,,    Americas,,,620,,230,,390,
Immigrant status and selected places of birth,,      United States,US,,140,,35,,105,
Immigrant status and selected places of birth,,Jamaica,7,,55,,20,,35,
Immigrant status and selected places of birth,,      Guyana,6,,100,,15,,85,
Immigrant status and selected places of birth,,Haiti,5,,0,,0,,0,
Immigrant status and selected places of birth,,Mexico,6,,15,,0,,0,
Immigrant status and selected places of birth,,      Trinidad and Tobago,TNT,,60,,25,,35,
Immigrant status and selected places of birth,,      Colombia,8,,100,,55,,45,
Immigrant status and selected places of birth,,      El Salvador,ELSAL,,0,,0,,0,
Immigrant status and selected places of birth,,      Peru,4,,0,,0,,0,
Immigrant status and selected places of birth,,      Chile,5,,0,,0,,0,
Immigrant status and selected places of birth,,      Other places of birth in Americas,OPBAMER,,130,,65,,65,
Immigrant status and selected places of birth,,    Europe,6,,685,,325,,360,
Immigrant status and selected places of birth,,      United Kingdom,UK,12,75,,40,,35,
Immigrant status and selected places of birth,,      Italy,5,,15,,0,,0,
Immigrant status and selected places of birth,,      Germany,7,,25,,0,,0,
Immigrant status and selected places of birth,,      Poland,6,,180,,80,,95,
Immigrant status and selected places of birth,,      Portugal,8,,135,,50,,85,
Immigrant status and selected places of birth,,      Netherlands,NETHERLNDS,,0,,0,,0,
Immigrant status and selected places of birth,,      France,6,,0,,0,,0,
Immigrant status and selected places of birth,,      Romania,7,,20,,0,,0,
Immigrant status and selected places of birth,,      Russian Federation,RUSSFED,,25,,0,,0,
Immigrant status and selected places of birth,,      Greece,6,,0,,0,,0,
Immigrant status and selected places of birth,,      Ukraine,7,,0,,0,,0,
Immigrant status and selected places of birth,,      Croatia,7,,60,,30,,30,
Immigrant status and selected places of birth,,      Hungary,7,,0,,0,,0,
Immigrant status and selected places of birth,,      Bosnia and Herzegovina,BOSHERZ,,15,,0,,10,
Immigrant status and selected places of birth,,      Serbia,6,,25,,10,,15,
Immigrant status and selected places of birth,,      Ireland; Republic of,IRE,,0,,0,,0,
Immigrant status and selected places of birth,,      Other places of birth in Europe,OPBEURO,,55,,35,,15,
Immigrant status and selected places of birth,,    Africa,6,,415,,190,,225,
Immigrant status and selected places of birth,,      Morocco,7,,0,,0,,0,
Immigrant status and selected places of birth,,      Algeria,7,,25,,0,,0,
Immigrant status and selected places of birth,,      Egypt,5,,160,,85,,80,
Immigrant status and selected places of birth,,      South Africa; Republic of,SAFRICA,,25,,10,,20,
Immigrant status and selected places of birth,,      Nigeria,7,,0,,0,,0,
Immigrant status and selected places of birth,,      Ethiopia,8,,0,,0,,0,
Immigrant status and selected places of birth,,      Kenya,5,,20,,0,,0,
Immigrant status and selected places of birth,,      Other places of birth in Africa,OPBAFRICA,,165,,65,,100,
Immigrant status and selected places of birth,,    Asia,4,,4295,,2200,,2095,
Immigrant status and selected places of birth,,      India,5,,915,,460,,460,
Immigrant status and selected places of birth,,      China,5,13,325,,135,,190,
Immigrant status and selected places of birth,,      Philippines,PHPINES,,420,,185,,235,
Immigrant status and selected places of birth,,      Hong Kong Special Administrative Region,HKSAR,,250,,110,,145,
Immigrant status and selected places of birth,,      Viet Nam,8,14,55,,25,,25,
Immigrant status and selected places of birth,,      Pakistan,8,,725,,380,,340,
Immigrant status and selected places of birth,,      Sri Lanka,9,,130,,60,,70,
Immigrant status and selected places of birth,,      Iran,4,15,60,,35,,25,
Immigrant status and selected places of birth,,      Korea; South,SK,16,100,,60,,35,
Immigrant status and selected places of birth,,      Lebanon,7,,190,,110,,80,
Immigrant status and selected places of birth,,      Taiwan,6,,45,,30,,10,
Immigrant status and selected places of birth,,      Iraq,4,,145,,75,,65,
Immigrant status and selected places of birth,,      Bangladesh,10,,40,,15,,20,
Immigrant status and selected places of birth,,      Afghanistan,AFGHAN,,0,,0,,0,
Immigrant status and selected places of birth,,      Japan,5,,0,,0,,0,
Immigrant status and selected places of birth,,      Turkey,6,,0,,0,,0,
Immigrant status and selected places of birth,,      Other places of birth in Asia,OPBASIA,,875,,505,,370,
Immigrant status and selected places of birth,,    Oceania and other,OCEANIA,17,25,,0,,0,
Immigrant status and selected places of birth,,      Fiji,4,,0,,0,,0,
Immigrant status and selected places of birth,,      Other places of birth,OPB,18,0,,0,,0,
Immigrant status and selected places of birth,,  Non-permanent residents,NPR,19,440,,265,,180,
